   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2500 4.2253e+06 2.5005e+06 6.2025e+06 2.6426e+06 6.0112e+06 3.5397e+06 5.0738e+06
   0.5000 7.9880e+06 4.7299e+06 1.1725e+07 4.9981e+06 1.1366e+07 6.6935e+06 9.5880e+06
   0.7500 1.0946e+07 6.4908e+06 1.6071e+07 6.8572e+06 1.5579e+07 9.1764e+06 1.3135e+07
   1.0000 1.2938e+07 7.6966e+06 1.8983e+07 8.1280e+06 1.8410e+07 1.0855e+07 1.5505e+07
   1.2500 1.3966e+07 8.3631e+06 2.0491e+07 8.8226e+06 1.9884e+07 1.1744e+07 1.6715e+07
   1.5000 1.4172e+07 8.5537e+06 2.0764e+07 9.0118e+06 2.0164e+07 1.1950e+07 1.6921e+07
   1.7500 1.3752e+07 8.3955e+06 2.0106e+07 8.8308e+06 1.9546e+07 1.1637e+07 1.6361e+07
   2.0000 1.2905e+07 7.9866e+06 1.8804e+07 8.3864e+06 1.8304e+07 1.0962e+07 1.5283e+07
   2.2500 1.1826e+07 7.4283e+06 1.7157e+07 7.7856e+06 1.6723e+07 1.0090e+07 1.3933e+07
   2.5000 1.0633e+07 6.7992e+06 1.5381e+07 7.1074e+06 1.5012e+07 9.1271e+06 1.2468e+07
   2.7500 9.4480e+06 6.1421e+06 1.3605e+07 6.4079e+06 1.3300e+07 8.1494e+06 1.1012e+07
   3.0000 8.3205e+06 5.5019e+06 1.1943e+07 5.7273e+06 1.1695e+07 7.2161e+06 9.6373e+06
   3.2500 7.2827e+06 4.8983e+06 1.0422e+07 5.0878e+06 1.0222e+07 6.3511e+06 8.3864e+06
   3.5000 6.3494e+06 4.3406e+06 9.0660e+06 4.4993e+06 8.9049e+06 5.5668e+06 7.2712e+06
   3.7500 5.5223e+06 3.8353e+06 7.8656e+06 3.9677e+06 7.7362e+06 4.8672e+06 6.2902e+06
   4.0000 4.7981e+06 3.3813e+06 6.8182e+06 3.4920e+06 6.7149e+06 4.2492e+06 5.4359e+06
   4.2500 4.1668e+06 2.9783e+06 5.9078e+06 3.0706e+06 5.8252e+06 3.7076e+06 4.6969e+06
   4.5000 3.6204e+06 2.6225e+06 5.1212e+06 2.6994e+06 5.0549e+06 3.2360e+06 4.0615e+06
   4.7500 3.1480e+06 2.3101e+06 4.4432e+06 2.3744e+06 4.3899e+06 2.8262e+06 3.5159e+06
   5.0000 2.7414e+06 2.0234e+06 3.8602e+06 2.0764e+06 3.8171e+06 2.4706e+06 3.0492e+06
   5.2500 2.3916e+06 1.7698e+06 3.3588e+06 1.8131e+06 3.3241e+06 2.1637e+06 2.6484e+06
   5.5000 2.0896e+06 1.5514e+06 2.9271e+06 1.5867e+06 2.8986e+06 1.8978e+06 2.3060e+06
   5.7500 1.8295e+06 1.3626e+06 2.5565e+06 1.3917e+06 2.5332e+06 1.6674e+06 2.0122e+06
   6.0000 1.6057e+06 1.1988e+06 2.2370e+06 1.2230e+06 2.2180e+06 1.4674e+06 1.7596e+06
   6.2500 1.4123e+06 1.0572e+06 1.9614e+06 1.0773e+06 1.9456e+06 1.2946e+06 1.5431e+06
   6.5000 1.2452e+06 9.3444e+05 1.7241e+06 9.5139e+05 1.7110e+06 1.1440e+06 1.3563e+06
   6.7500 1.0995e+06 8.2808e+05 1.5188e+06 8.4193e+05 1.5077e+06 1.0139e+06 1.1950e+06
   7.0000 9.7361e+05 7.3539e+05 1.3408e+06 7.4720e+05 1.3316e+06 8.9954e+05 1.0551e+06
   7.2500 8.6415e+05 6.5452e+05 1.1864e+06 6.6449e+05 1.1785e+06 8.0028e+05 9.3493e+05
   7.5000 7.6885e+05 5.8365e+05 1.0518e+06 5.9215e+05 1.0452e+06 7.1338e+05 8.2958e+05
   7.7500 6.8539e+05 5.2170e+05 9.3476e+05 5.2894e+05 9.2917e+05 6.3725e+05 7.3790e+05
   8.0000 6.1231e+05 4.6727e+05 8.3271e+05 4.7347e+05 8.2794e+05 5.7034e+05 6.5791e+05
   8.2500 5.4820e+05 4.1935e+05 7.4337e+05 4.2467e+05 7.3930e+05 5.1158e+05 5.8787e+05
   8.5000 4.9174e+05 3.7712e+05 6.6487e+05 3.8171e+05 6.6136e+05 4.5965e+05 5.2639e+05
   8.7500 4.4195e+05 3.3981e+05 5.9575e+05 3.4377e+05 5.9272e+05 4.1380e+05 4.7232e+05
   9.0000 3.9800e+05 3.0676e+05 5.3494e+05 3.1019e+05 5.3232e+05 3.7323e+05 4.2467e+05
   9.2500 3.5908e+05 2.7743e+05 4.8118e+05 2.8040e+05 4.7890e+05 3.3726e+05 3.8253e+05
   9.5000 3.2459e+05 2.5138e+05 4.3364e+05 2.5398e+05 4.3166e+05 3.0525e+05 3.4525e+05
   9.7500 2.9381e+05 2.2811e+05 3.9151e+05 2.3036e+05 3.8977e+05 2.7678e+05 3.1216e+05
  10.0000 2.6649e+05 2.0740e+05 3.5409e+05 2.0937e+05 3.5257e+05 2.5134e+05 2.8270e+05
  10.2500 2.4213e+05 1.8877e+05 3.2074e+05 1.9052e+05 3.1941e+05 2.2855e+05 2.5653e+05
  10.5000 2.2032e+05 1.7211e+05 2.9102e+05 1.7365e+05 2.8986e+05 2.0822e+05 2.3307e+05
  10.7500 2.0073e+05 1.5716e+05 2.6448e+05 1.5851e+05 2.6344e+05 1.8995e+05 2.1217e+05
  11.0000 1.8320e+05 1.4372e+05 2.4065e+05 1.4493e+05 2.3974e+05 1.7349e+05 1.9340e+05
